Ice Block,3,,,Epic,Mage,Spell
Ice Lance,1,,,Common,Mage,Spell
Illidan Stormrage,6,7,5,Legendary,Neutral,Minion
Imp,1,1,1,Rare,Neutral,Minion
Imp Master,3,1,5,Rare,Neutral,Minion
Infernal,6,6,6,Common,Warlock,Minion
Injured Blademaster,3,4,7,Rare,Neutral,Minion
Inner Fire,1,,,Common,Priest,Spell
Inner Rage,0,,,Common,Warrior,Spell
Ironbark Protector,8,8,8,Free,Druid,Minion
Ironbeak Owl,2,2,1,Common,Neutral,Minion
Ironforge Rifleman,3,2,2,Free,Neutral,Minion
Jungle Panther,3,4,2,Common,Neutral,Minion
Keeper of the Grove,4,2,4,Rare,Druid,Minion
Kidnapper,6,5,3,Epic,Rogue,Minion
Kill Command,3,,,Free,Hunter,Spell
King Krush,9,8,8,Legendary,Hunter,Minion
King Mukla,3,5,5,Legendary,Neutral,Minion
Kirin Tor Mage,3,4,3,Rare,Mage,Minion
Knife Juggler,2,3,2,Rare,Neutral,Minion
Laughing Sister,3,3,5,Common,Neutral,Minion
Lava Burst,3,,,Rare,Shaman,Spell
Lay on Hands,8,,,Epic,Paladin,Spell
Leeroy Jenkins,5,6,2,Legendary,Neutral,Minion
Legacy of the Emperor,3,,,Common,Neutral,Spell
Leokk,3,2,4,Common,Hunter,Minion
Leokk,Common,Hunter,Minion,3,2,4
Leper Gnome,1,2,1,Common,Neutral,Minion
Life Tap,2,,,Free,Warlock,Hero Power
Light's Justice,1,1,4,Free,Paladin,Weapon
Lightning Bolt,1,,,Common,Shaman,Spell
Lightning Storm,3,,,Rare,Shaman,Spell
Lightspawn,4,0,5,Common,Priest,Minion
Lightwarden,1,1,2,Rare,Neutral,Minion
Lightwell,2,0,5,Rare,Priest,Minion
Loot Hoarder,2,2,1,Common,Neutral,Minion
Lord Jaraxxus,9,3,15,Legendary,Warlock,Minion
Lord of the Arena,6,6,5,Free,Neutral,Minion
Lorewalker Cho (card),2,0,4,Legendary,Neutral,Minion
Mad Bomber,2,3,2,Common,Neutral,Minion
Malygos,9,4,12,Legendary,Neutral,Minion
Mana Addict,2,1,3,Rare,Neutral,Minion
Mana Spring Totem,3,,,Epic,Shaman,Minion
Mana Tide Totem,3,0,3,Rare,Shaman,Minion
Mana Wraith,2,2,2,Rare,Neutral,Minion
Mana Wyrm,1,1,3,Common,Mage,Minion
Mark of Nature,3,,,Common,Druid,Spell
Mass Dispel,4,,,Rare,Priest,Spell
Massive Gnoll,4,5,2,Common,Neutral,Minion
Master of Disguise,4,4,4,Rare,Rogue,Minion
Master Swordsmith,2,1,3,Rare,Neutral,Minion
Mechanical Dragonling,1,2,1,Common,Neutral,Minion
Mechanical Dragonling,Common,Neutral,Minion,1,2,1
Millhouse Manastorm (card),,,20,Legendary,Mage,Minion
Mind Control Tech,3,3,3,Rare,Neutral,Minion
Mindgames,4,,,Epic,Priest,Spell
Mirror Entity,3,,,Common,Mage,Spell
Mogu'shan Warden,4,1,7,Common,Neutral,Minion
Molten Giant,20,8,8,Epic,Neutral,Minion
Moonfire,0,,,Free,Druid,Spell
Mortal Strike,4,,,Rare,Warrior,Spell
Mountain Giant,12,8,8,Epic,Neutral,Minion
Mukla's Big Brother,6,10,10,Common,Neutral,Minion
Murloc Tidecaller,1,1,2,Rare,Neutral,Minion
Murloc Warleader,3,3,3,Epic,Neutral,Minion
Naga Myrmidon,1,1,1,Common,Neutral,Minion
Nat Pagle,2,0,4,Legendary,Neutral,Minion
Naturalize,1,,,Common,Druid,Spell
Noble Sacrifice,1,,,Common,Paladin,Spell
Nourish,5,,,Rare,Druid,Spell
Nozdormu,9,8,8,Legendary,Neutral,Minion
Onyxia,9,8,8,Legendary,Neutral,Minion
Pandaren Scout,1,1,1,Common,Neutral,Minion
Panther,2,3,2,Common,Druid,Minion
Patient Assassin,2,1,1,Epic,Rogue,Minion
Penance,3,,,Common,Priest,Spell
Perdition's Blade,3,2,2,Rare,Rogue,Weapon
Pint-Sized Summoner,2,2,2,Rare,Neutral,Minion
Pit Lord,4,5,6,Epic,Warlock,Minion
Poultryizer,1,0,3,Common,Neutral,Minion
Poultryizer,Common,Neutral,Minion,1,0,3
Power of the Wild,2,,,Common,Druid,Spell
Power Overwhelming,1,,,Common,Warlock,Spell
Preparation,0,,,Epic,Rogue,Spell
Priestess of Elune,6,5,4,Common,Neutral,Minion
Prophet Velen,7,7,7,Legendary,Priest,Minion
Pyroblast,10,,,Epic,Mage,Spell
Questing Adventurer,3,2,2,Rare,Neutral,Minion
Raging Worgen,3,3,3,Common,Neutral,Minion
Ragnaros the Firelord,8,8,8,Legendary,Neutral,Minion
Rampage,2,,,Common,Warrior,Spell
Ravenholdt Assassin,7,7,5,Rare,Neutral,Minion
Redemption,1,,,Common,Paladin,Spell
Repentance,1,,,Common,Paladin,Spell
Savagery,1,,,Rare,Druid,Spell
Savannah Highmane,6,6,5,Rare,Hunter,Minion
Scarlet Crusader,3,3,1,Common,Neutral,Minion
Scavenging Hyena,2,2,2,Common,Hunter,Minion
Sea Giant,10,8,8,Epic,Neutral,Minion
Secretkeeper,1,1,2,Rare,Neutral,Minion
Sense Demons,3,,,Common,Warlock,Spell
Shado-Pan Monk,2,2,2,Common,Neutral,Minion
Shadow Madness,4,,,Rare,Priest,Spell
Shadow of Nothing,0,0,1,Epic,Priest,Minion
Shadowflame,4,,,Rare,Warlock,Spell
Shadowform,3,,,Epic,Priest,Spell
Shadowstep,0,,,Common,Rogue,Spell
Shan'do's Lesson,0,,,Common,Druid,Spell
Shield Block,3,,,Free,Warrior,Spell
Shield Slam,1,,,Epic,Warrior,Spell
Shieldbearer,1,0,4,Common,Neutral,Minion
SI:7 Agent,3,3,3,Rare,Rogue,Minion
Silence,0,,,Common,Priest,Spell
Silver Hand Knight,5,4,4,Common,Neutral,Minion
Silverback Patriarch,3,1,4,Free,Neutral,Minion
Silverback Patriarch,Free,Neutral,Minion,3,1,4
Silvermoon Guardian,4,3,3,Common,Neutral,Minion
Siphon Soul,6,,,Rare,Warlock,Spell
Skeleton,1,1,1,Common,Neutral,Minion
Slam,2,,,Common,Warrior,Spell
Snake,0,1,1,Common,Hunter,Minion
Snake Trap,2,,,Epic,Hunter,Spell
Snipe,2,,,Common,Hunter,Spell
Sorcerer's Apprentice,2,3,2,Common,Mage,Minion
Soul of the Forest,4,,,Common,Druid,Spell
Southsea Captain,3,3,3,Epic,Neutral,Minion
Spellbender,3,,,Epic,Mage,Spell
Spellbender (minion),0,1,3,Epic,Mage,Minion
Spellbreaker,4,4,3,Common,Neutral,Minion
Spirit Wolf,2,2,3,Rare,Shaman,Minion
Spiteful Smith,5,4,6,Common,Neutral,Minion
Sprint,7,,,Common,Rogue,Spell
Sprint,7,,,Free,Rogue,Spell
Squire,1,2,2,Common,Neutral,Minion
Squirrel,1,1,1,Common,Neutral,Minion
Stampeding Kodo,5,3,5,Rare,Neutral,Minion
Starfall,0,,,Common,Druid,Spell
Stomp,2,,,Common,Neutral,Spell
Stormforged Axe,2,2,3,Common,Shaman,Weapon
Stormwind Knight,4,2,5,Common,Neutral,Minion
Stormwind Knight,4,2,5,Free,Neutral,Minion
Stranglethorn Tiger,5,5,5,Common,Neutral,Minion
Summon a Panther,0,,,Common,Druid,Spell
Summoning Portal,4,0,4,Common,Warlock,Minion
Sunfury Protector,2,2,3,Rare,Neutral,Minion
Sunwalker,6,4,5,Rare,Neutral,Minion
Sword of Justice,3,1,5,Epic,Paladin,Weapon
Sylvanas Windrunner,6,5,5,Legendary,Neutral,Minion
Tauren Warrior,3,2,3,Common,Neutral,Minion
Temple Enforcer,6,6,6,Common,Priest,Minion
The Beast,6,9,7,Legendary,Neutral,Minion
The Black Knight,6,4,5,Legendary,Neutral,Minion
Thoughtsteal,3,,,Common,Priest,Spell
Thrallmar Farseer,3,2,3,Common,Neutral,Minion
Tinkmaster Overspark,3,2,2,Legendary,Neutral,Minion
Tirion Fordring,8,6,6,Legendary,Paladin,Minion
Treant (Force of Nature),1,2,2,Common,Druid,Minion
Truesilver Champion,4,4,2,Common,Paladin,Weapon
Truesilver Champion,4,4,2,Free,Paladin,Weapon
Tundra Rhino,5,2,5,Common,Hunter,Minion
Tundra Rhino,5,2,5,Free,Hunter,Minion
Twilight Drake,4,4,1,Rare,Neutral,Minion
Twisting Nether,8,,,Epic,Warlock,Spell
Unbound Elemental,3,2,4,Common,Shaman,Minion
Unleash the Hounds,3,,,Common,Hunter,Spell
Upgrade!,1,,,Rare,Warrior,Spell
Uproot,0,,,Common,Druid,Spell
Vaporize,3,,,Rare,Mage,Spell
Venture Co. Mercenary,5,7,6,Common,Neutral,Minion
Violet Apprentice,0,1,1,Common,Neutral,Minion
Violet Teacher,4,3,5,Rare,Neutral,Minion
Void Terror,3,3,3,Rare,Warlock,Minion
Warglaive of Azzinoth,2,2,2,Common,Neutral,Weapon
Whelp,1,1,1,Summon,Neutral,Minion
Wild Pyromancer,2,3,2,Rare,Neutral,Minion
Windfury Harpy,6,4,5,Common,Neutral,Minion
Wisp,0,1,1,Common,Neutral,Minion
Worgen Infiltrator,1,2,1,Common,Neutral,Minion
Worthless Imp,1,1,1,Common,Warlock,Minion
Wrath,0,,,Common,Druid,Spell
Young Dragonhawk,1,1,1,Common,Neutral,Minion
Young Priestess,1,2,1,Rare,Neutral,Minion
Youthful Brewmaster,2,3,2,Common,Neutral,Minion
Ysera,9,4,12,Legendary,Neutral,Minion
Ysera Awakens,2,,,Common,Neutral,Spell
